release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3
2019,1,8.5,PG-13,Avengers: Endgame,"356,000,000",181,Walt Disney ,"2,797,800,564","858,373,000",Action,Adventure,Drama
2019,2,7,PG,The Lion King,"260,000,000",118,Walt Disney ,"1,656,943,394","543,638,043",Animation,Adventure,Drama
2019,3,7.2,PG,Frozen II,"150,000,000",103,Walt Disney ,"1,420,560,456","470,089,732",Animation,Adventure,Comedy
2019,4,7.6,PG-13,Spider-Man: Far from Home,"160,000,000",129,Sony Pictures,"1,131,927,996","390,532,085",Action,Adventure,Sci-Fi
2019,5,6.9,PG-13,Captain Marvel,"175,000,000",123,Walt Disney ,"1,128,274,794","426,829,839",Action,Adventure,Sci-Fi
2019,6,7.9,G,Toy Story 4,"200,000,000",100,Walt Disney ,"1,073,394,593","434,038,008",Animation,Adventure,Comedy
2019,7,8.6,R,Joker,"55,000,000",122,Warner Bros.,"1,071,030,470","334,830,470",Crime,Drama,Thriller
2019,8,7,PG,Aladdin,"183,000,000",128,Walt Disney ,"1,050,693,953","355,559,216",Adventure,Family,Fantasy
2019,9,6.9,PG-13,Star Wars: Episode IX - The Rise of Skywalker,"200,000,000",142,Walt Disney ,"1,048,859,152","503,458,989",Action,Adventure,Fantasy
2019,10,6.5,PG-13,Fast & Furious Presents: Hobbs & Shaw,"200,000,000",137,Universal Pictures,"758,910,100","173,810,100",Action,Adventure,
2018,1,8.5,PG-13,Avengers: Infinity War,"321,000,000",149,Walt Disney ,"2,048,359,754","678,815,482",Action,Adventure,Sci-Fi
2018,2,7.3,PG-13,Black Panther,"200,000,000",134,Walt Disney ,"1,346,913,161","700,059,566",Action,Adventure,Sci-Fi
2018,3,6.2,PG-13,Jurassic World: Fallen Kingdom,"170,000,000",128,Universal Pictures,"1,308,467,944","417,719,760",Action,Adventure,Sci-Fi
2018,4,7.7,PG,Incredibles 2,"200,000,000",118,Walt Disney ,"1,242,805,359","608,581,744",Animation,Action,Adventure
2018,5,7,PG-13,Aquaman,"160,000,000",143,Warner Bros.,"1,148,161,807","335,061,807",Action,Adventure,Fantasy
2018,6,8,PG-13,Bohemian Rhapsody,"52,000,000",134,Twentieth Century Fox,"903,655,259","216,428,042",Biography,Drama,Music
2018,7,6.7,PG-13,Venom,"100,000,000",112,Sony Pictures,"856,085,151","213,515,506",Action,Sci-Fi,Thriller
2018,8,7.8,PG-13,Mission: Impossible - Fallout,"178,000,000",147,Paramount Pictures,"791,115,104","220,159,104",Action,Adventure,Thriller
2018,9,7.7,R,Deadpool 2,"110,000,000",119,Twentieth Century Fox,"734,546,611","318,491,426",Action,Adventure,Comedy
2018,10,6.6,PG-13,Fantastic Beasts: The Crimes of Grindelwald,"200,000,000",134,Warner Bros.,"653,755,901","159,555,901",Adventure,Family,Fantasy
2017,1,7,PG-13,Star Wars: Episode VIII - The Last Jedi,"317,000,000",152,Walt Disney ,"1,332,539,889","620,181,382",Action,Adventure,Fantasy
2017,2,7.1,PG,Beauty and the Beast,"160,000,000",129,Walt Disney ,"1,263,521,126","504,014,165",Family,Fantasy,Musical
2017,3,6.7,PG-13,The Fate of the Furious,"250,000,000",136,Universal Pictures,"1,236,005,118","226,008,385",Action,Adventure,Thriller
2017,4,6.3,PG,Despicable Me 3,"80,000,000",89,Universal Pictures,"1,034,799,409","264,624,300",Animation,Adventure,Comedy
2017,5,6.9,PG-13,Jumanji: Welcome to the Jungle,"90,000,000",119,Sony Pictures,"962,077,546","404,515,480",Action,Adventure,Comedy
2017,6,7.4,PG-13,Spider-Man: Homecoming,"175,000,000",133,Sony Pictures,"880,166,924","334,201,140",Action,Adventure,Sci-Fi
2017,7,6,,Wolf Warrior 2,"30,100,000",123,The H Collective,"870,325,439","2,721,100",Action,Drama,Thriller
2017,8,7.6,PG-13,Guardians of the Galaxy Vol. 2,"200,000,000",136,Walt Disney ,"863,756,051","389,813,101",Action,Adventure,Comedy
2017,9,7.9,PG-13,Thor: Ragnarok,"180,000,000",130,Walt Disney ,"853,977,126","315,058,289",Action,Adventure,Comedy
2017,10,7.4,PG-13,Wonder Woman,"149,000,000",141,Warner Bros.,"821,847,012","412,563,408",Action,Adventure,Fantasy
2016,1,7.8,PG-13,Captain America: Civil War,"250,000,000",147,Walt Disney ,"1,153,296,293","408,084,349",Action,Adventure,Sci-Fi
2016,2,7.8,PG-13,Rogue One: A Star Wars Story,"200,000,000",133,Walt Disney ,"1,056,057,273","532,177,324",Action,Adventure,Sci-Fi
2016,3,7.3,PG,Finding Dory,"200,000,000",97,Walt Disney ,"1,028,570,889","486,295,561",Animation,Adventure,Comedy
2016,4,8,PG,Zootopia,"150,000,000",108,Walt Disney ,"1,023,784,195","341,268,248",Animation,Adventure,Comedy
2016,5,7.4,PG,The Jungle Book,"175,000,000",106,Walt Disney ,"966,550,600","364,001,123",Adventure,Drama,Fantasy
2016,6,6.5,PG,The Secret Life of Pets,"75,000,000",87,Universal Pictures,"875,457,937","368,384,330",Animation,Adventure,Comedy
2016,7,6.6,PG-13,Fantastic Beasts and Where to Find Them,"180,000,000",134,Warner Bros.,"814,037,575","234,037,575",Adventure,Family,Fantasy
2016,8,8,R,Deadpool ,"58,000,000",108,Twentieth Century Fox,"782,612,155","363,070,709",Action,Adventure,Comedy
2016,9,6,PG-13,Suicide Squad,"175,000,000",123,Warner Bros.,"746,846,894","325,100,054",Action,Adventure,Fantasy
2016,10,7.5,PG-13,Doctor Strange,"165,000,000",115,Walt Disney ,"677,718,395","232,641,920",Action,Adventure,Fantasy
2015,1,7.9,PG-13,Star Wars: Episode VII - The Force Awakens,"245,000,000",138,Walt Disney ,"2,068,223,624","936,662,225",Action,Adventure,Sci-Fi
2015,2,7,PG-13,Jurassic World,"150,000,000",124,Universal Pictures,"1,670,400,637","652,270,625",Action,Adventure,Sci-Fi
2015,3,7.2,PG-13,Furious 7,"190,000,000",137,Universal Pictures,"1,515,047,671","353,007,020",Action,Adventure,Thriller
2015,4,7.3,PG-13,Avengers: Age of Ultron,"250,000,000",141,Walt Disney ,"1,402,805,868","459,005,868",Action,Adventure,Sci-Fi
2015,5,6.4,PG,Minions,"74,000,000",91,Universal Pictures,"1,159,398,397","336,045,770",Animation,Adventure,Comedy
2015,6,6.8,PG-13,Spectre,"245,000,000",148,Sony Pictures,"880,674,609","200,074,609",Action,Adventure,Thriller
2015,7,6.5,PG-13,Batman v Superman: Dawn of Justice,"250,000,000",151,Warner Bros.,"873,634,919","330,360,194",Action,Adventure,Sci-Fi
2015,8,8.2,PG,Inside Out,"175,000,000",95,Walt Disney ,"857,611,174","356,461,711",Animation,Adventure,Comedy
2015,9,7.4,PG-13,Mission: Impossible - Rogue Nation,"150,000,000",131,Paramount Pictures,"682,714,267","195,042,377",Action,Adventure,Thriller
2015,10,6.5,PG-13,The Hunger Games: Mockingjay - Part 2,"160,000,000",137,Lionsgate,"658,344,137","281,723,902",Action,Adventure,Sci-Fi
2014,1,5.6,PG-13,Transformers: Age of Extinction,"210,000,000",165,Paramount Pictures,"1,104,054,072","245,439,076",Action,Adventure,Sci-Fi
2014,2,7.4,PG-13,The Hobbit: The Battle of the Five Armies,"250,000,000",144,Warner Bros.,"956,019,788","255,119,788",Adventure,Fantasy,
2014,3,8,PG-13,Guardians of the Galaxy,"170,000,000",121,Walt Disney ,"772,776,600","333,176,600",Action,Adventure,Comedy
2014,4,7,PG,Maleficent,"180,000,000",97,Walt Disney ,"758,410,378","241,410,378",Action,Adventure,Fantasy
2014,5,6.6,PG-13,The Hunger Games: Mockingjay - Part 1,"125,000,000",123,Lionsgate,"755,356,711","337,135,885",Action,Adventure,Sci-Fi
2014,6,8,PG-13,X-Men: Days of Future Past,"200,000,000",132,Twentieth Century Fox,"746,045,700","233,921,534",Action,Adventure,Sci-Fi
2014,7,7.7,PG-13,Captain America: The Winter Soldier,"170,000,000",136,Walt Disney ,"714,421,503","259,766,572",Action,Adventure,Sci-Fi
2014,8,7.6,PG-13,Dawn of the Planet of the Apes,"170,000,000",130,Twentieth Century Fox,"710,644,566","208,545,589",Action,Adventure,Drama
2014,9,6.6,PG-13,The Amazing Spider-Man 2,"200,000,000",142,Sony Pictures,"708,982,323","202,853,933",Action,Adventure,Sci-Fi
2014,10,8.6,PG-13,Interstellar,"165,000,000",169,Paramount Pictures,"677,463,813","188,020,017",Adventure,Drama,Sci-Fi
